Feature,Precision,Recall
lilo / NNP,0.2,0.0001875821
limited,0.7,0.0013130745
limited / JJ,0.625,0.0009379103
limits,0.2,0.0001875821
limits / NNS,0.2,0.0001875821
limp,1,0.0013130745
limp / JJ,1,0.0013130745
line,0.6046511628,0.0048771337
line / NN,0.6046511628,0.0048771337
lines,0.7,0.0026261489
lines / NNS,0.7,0.0026261489
lingering,0.3333333333,0.0003751641
lingering / VBG,0.3333333333,0.0003751641
lion,0.4,0.0003751641
lion / NNP,0.4,0.0003751641
lips,0.1111111111,0.0001875821
lips / NNS,0.1111111111,0.0001875821
list,0.625,0.0018758207
list / NN,0.6,0.0016882386
listen,0.375,0.0005627462
listen / VB,0.375,0.0005627462
listless,1,0.0016882386
listless / JJ,1,0.0016882386
lit,0.5,0.0005627462
literal,0.4,0.0003751641
literal / JJ,0.4,0.0003751641
literally,0.8461538462,0.0020634027
literally / RB,0.8461538462,0.0020634027
literary,0.2142857143,0.0005627462
literary / JJ,0.2142857143,0.0005627462
literate,0,0
literate / JJ,0,0
little,0.574829932,0.0317013693
little / JJ,0.5537848606,0.0260739073
little / NNP,0.4285714286,0.0005627462
little / RB,0.7179487179,0.0052522979
live,0.4736842105,0.0033764772
live / VB,0.65,0.0024385669
live / VBP,0.2142857143,0.0005627462
live-action,0.5,0.0007503283
live-action / JJ,0.5714285714,0.0007503283
lived,0.2727272727,0.0005627462
lived / VBD,0.3333333333,0.0005627462
lively,0,0
lively / JJ,0,0
lives,0.2830188679,0.002813731
lives / NNS,0.26,0.0024385669
living,0.2916666667,0.0013130745
living / NN,0.25,0.0003751641
living / VBG,0.3125,0.0009379103
lo,0.5,0.0007503283
lo / NNP,0.4285714286,0.0005627462
load,0.8,0.0007503283
load / NN,0.8,0.0007503283
local,0.5,0.0005627462
local / JJ,0.5,0.0005627462
locales,0.2,0.0001875821
locales / NNS,0.2,0.0001875821
locations,0.3333333333,0.0005627462
locations / NNS,0.3333333333,0.0005627462
lock,0.6,0.0005627462
lofty,0.4,0.0003751641
lofty / JJ,0.4,0.0003751641
logic,0.6153846154,0.0015006565
logic / NN,0.6153846154,0.0015006565
loneliness,0.1428571429,0.0001875821
loneliness / NN,0.1428571429,0.0001875821
long,0.6481481481,0.0196961171
long / JJ,0.6785714286,0.0106921778
long / RB,0.6153846154,0.0090039392
longer,0.5555555556,0.0018758207
longer / JJR,0.4444444444,0.0007503283
longer / RB,0.8,0.0007503283
longest,0.8,0.0007503283
longest / JJS,0.8,0.0007503283
longing,0.25,0.0003751641
longing / NN,0.25,0.0003751641
look,0.3370786517,0.011254924
look / NN,0.1734693878,0.0031888951
look / VB,0.5151515152,0.0063777903
look / VBP,0.6428571429,0.0016882386
looked,0.8888888889,0.0015006565
looked / VBD,0.8571428571,0.0011254924
looking,0.6153846154,0.0060026261
looking / VBG,0.6153846154,0.0060026261
looks,0.6346153846,0.0061902082
looks / NNS,0.8571428571,0.0011254924
looks / VBZ,0.6,0.0050647158
loose,0.6666666667,0.0015006565
loose / JJ,0.6666666667,0.0015006565
lopez,0.7142857143,0.0009379103
lopez / NNP,0.7142857143,0.0009379103
lord,0.4,0.0003751641
lord / NN,0.4,0.0003751641
los,0.4,0.0003751641
los / NNP,0.4,0.0003751641
lose,0.6,0.0005627462
loses,0.7727272727,0.0031888951
loses / VBZ,0.7727272727,0.0031888951
losing,0.5,0.0005627462
losing / VBG,0.5,0.0005627462
loss,0.2857142857,0.0011254924
loss / NN,0.2857142857,0.0011254924
lost,0.5555555556,0.0037516413
lost / VBD,0.3333333333,0.0003751641
lost / VBN,0.6,0.0033764772
lot,0.5283018868,0.0105045958
lot / NN,0.5333333333,0.0105045958
lots,0.6206896552,0.0033764772
lots / NNS,0.6206896552,0.0033764772
loud,0.9230769231,0.0045019696
loud / JJ,0.9230769231,0.0045019696
lousy,1,0.0020634027
lousy / JJ,1,0.0020634027
love,0.34375,0.0144438192
love / NN,0.320441989,0.0108797599
love / VB,0.4210526316,0.0015006565
love / VBP,0.4,0.0018758207
loved,0.1875,0.0005627462
loved / VBD,0.1818181818,0.0003751641
loved / VBN,0.2,0.0001875821
lovely,0.3793103448,0.0020634027
lovely / JJ,0.3793103448,0.0020634027
lovers,0.1111111111,0.0001875821
lovers / NNS,0,0
loves,0.5,0.0009379103
loves / VBZ,0.5,0.0009379103
loving,0.2,0.0003751641
loving / JJ,0.125,0.0001875821
lovingly,0.1666666667,0.0001875821
lovingly / RB,0.1666666667,0.0001875821
low,0.8076923077,0.0039392234
low / JJ,0.8076923077,0.0039392234
low-budget,0.5714285714,0.0015006565
low-budget / JJ,0.5714285714,0.0015006565
low-key,0.0769230769,0.0001875821
low-key / JJ,0.0769230769,0.0001875821
lowbrow,0.8,0.0007503283
lowbrow / JJ,0.8,0.0007503283
lower,1,0.0009379103
lower / JJR,1,0.0009379103
loyalty,0.4,0.0003751641
loyalty / NN,0.4,0.0003751641
lucas,0.4285714286,0.0005627462
lucas / NNP,0.4285714286,0.0005627462
lucky,0.6666666667,0.0007503283
lucky / JJ,0.6666666667,0.0007503283
ludicrous,0.8461538462,0.0020634027
ludicrous / JJ,0.8461538462,0.0020634027
lump,0.6,0.0005627462
lump / NN,0.6,0.0005627462
lunacy,0.8,0.0007503283
lunacy / NN,0.8,0.0007503283
lurid,0.3333333333,0.0003751641
lush,0.5,0.0005627462
lush / JJ,0.5,0.0005627462
lust,0.6,0.0005627462
lust / NN,0.6,0.0005627462
lyne,0.8,0.0007503283
lyne / NNP,0.8,0.0007503283
lyrical,0.1666666667,0.0003751641
lyrical / JJ,0.1666666667,0.0003751641
lyricism,0.2,0.0001875821
lyricism / NN,0.2,0.0001875821
m,0.5416666667,0.0024385669
m / NN,0.55,0.0020634027
macabre,0.4,0.0003751641
macabre / JJ,0.4,0.0003751641
macdowell,0.6666666667,0.0007503283
machine,0.75,0.0022509848
machine / NN,0.75,0.0022509848
machismo,0.8,0.0007503283
machismo / NN,0.8,0.0007503283
mad,0.75,0.0011254924
mad / JJ,0.75,0.0011254924
made,0.5602094241,0.0200712812
made / VBD,0.5581395349,0.0045019696
made / VBN,0.5608108108,0.0155693116
madness,0.4,0.0007503283
madness / NN,0.4,0.0007503283
madonna,0.7333333333,0.0020634027
madonna / NNP,0.7333333333,0.0020634027
magic,0.3448275862,0.0018758207
magic / JJ,0.6666666667,0.0007503283
magic / NN,0.2727272727,0.0011254924
magical,0.3333333333,0.0003751641
magical / JJ,0.3333333333,0.0003751641
magnificent,0.25,0.0003751641
magnificent / JJ,0.25,0.0003751641
maid,0.6666666667,0.0007503283
maid / NN,0.6666666667,0.0007503283
main,0.5625,0.0016882386
main / JJ,0.5625,0.0016882386
mainly,0.4166666667,0.0009379103
mainly / RB,0.4166666667,0.0009379103
mainstream,0.4,0.0011254924
mainstream / JJ,0.6,0.0005627462
mainstream / NN,0.3333333333,0.0005627462
maintain,0.1666666667,0.0001875821
maintain / VB,0.1666666667,0.0001875821
maintains,0.2,0.0003751641
maintains / VBZ,0.2,0.0003751641
majidi,0,0
majidi / NNP,0,0
major,0.5925925926,0.0030013131
major / JJ,0.6153846154,0.0030013131
make,0.4595588235,0.0234477584
make / VB,0.5,0.0206340274
make / VBP,0.2777777778,0.002813731
maker,0.4,0.0003751641
maker / NN,0.4,0.0003751641
makers,0.5714285714,0.0015006565
makers / NNS,0.5714285714,0.0015006565
makes,0.4297188755,0.0200712812
makes / VBZ,0.4285714286,0.0196961171
making,0.5375,0.0080660289
making / NN,0.625,0.0009379103
making / VBG,0.5277777778,0.0071281186
male,0.5714285714,0.0015006565
male / JJ,0.5,0.0009379103
malkovich,0.5,0.0005627462
malkovich / NNP,0.5,0.0005627462
mamet,0,0
mamet / NNP,0,0
man,0.4234234234,0.0088163572
man / NN,0.4234234234,0.0088163572
manage,0.3846153846,0.0009379103
manage / VB,0.3333333333,0.0003751641
manage / VBP,0.4285714286,0.0005627462
managed,0.3333333333,0.0005627462
managed / VBN,0.2,0.0001875821
manages,0.3066666667,0.0043143875
manages / VBZ,0.3066666667,0.0043143875
manhattan,0.4545454545,0.0009379103
manhattan / NNP,0.4545454545,0.0009379103
manipulative,0.7647058824,0.0024385669
manipulative / JJ,0.7647058824,0.0024385669
mann,0.6,0.0005627462
mann / NNP,0.6,0.0005627462
manner,0.3636363636,0.0015006565
manner / NN,0.3636363636,0.0015006565
manners,0.1666666667,0.0001875821
manners / NNS,0.1666666667,0.0001875821
manufactured,1,0.0011254924
manufactured / VBN,1,0.0011254924
many,0.5197740113,0.0172575502
many / JJ,0.5197740113,0.0172575502
marching,0.2,0.0001875821
marching / VBG,0.2,0.0001875821
marginal,0.4285714286,0.0005627462
marginal / JJ,0.4285714286,0.0005627462
mark,0.36,0.0016882386
mark / NN,0.2857142857,0.0007503283
mark / NNP,0.375,0.0005627462
market,0.7,0.0013130745
market / NN,0.6666666667,0.0011254924
marks,0.25,0.0007503283
marks / NNS,0.5,0.0007503283
marks / VBZ,0,0
marquis,0.5,0.0005627462
marquis / NNP,0.5,0.0005627462
marriage,0.3076923077,0.0007503283
marriage / NN,0.3076923077,0.0007503283
married,0.4,0.0003751641
mars,0.6666666667,0.0007503283
mars / NNP,0.6666666667,0.0007503283
marshall,0,0
marshall / NNP,0,0
martha,0.0833333333,0.0001875821
martha / NNP,0.0833333333,0.0001875821
martial,0.7142857143,0.0009379103
martial / JJ,0.7142857143,0.0009379103
martin,0.4210526316,0.0015006565
martin / NNP,0.4210526316,0.0015006565
marvel,0.1111111111,0.0001875821
marvel / NNP,0.1428571429,0.0001875821
marvelous,0.1111111111,0.0001875821
marvelous / JJ,0.1111111111,0.0001875821
mary,0.8,0.0007503283
mary / NNP,0.8,0.0007503283
mask,0.6666666667,0.0007503283
mask / NN,0.6666666667,0.0007503283
master,0.4814814815,0.0024385669
master / NN,0.4615384615,0.0022509848
masterful,0,0
masterful / JJ,0,0
masterfully,0,0
masterfully / RB,0,0
masterpiece,0.16,0.0007503283
masterpiece / NN,0.16,0.0007503283
match,0.65,0.0024385669
match / NN,0.5,0.0005627462
match / VB,0.6923076923,0.0016882386
material,0.6489361702,0.0114425061
material / NN,0.6489361702,0.0114425061
matinee,0.4,0.0007503283
matinee / NN,0.6,0.0005627462
mattei,0.6666666667,0.0007503283
mattei / NNP,0.6666666667,0.0007503283
matter,0.5735294118,0.0073157006
matter / NN,0.5671641791,0.0071281186
matters,0.4,0.0011254924
matters / NNS,0.4,0.0007503283
matters / VBZ,0.4,0.0003751641
matthew,0.5555555556,0.0009379103
matthew / NNP,0.5555555556,0.0009379103
mature,0.3333333333,0.0005627462
mature / JJ,0.3333333333,0.0005627462
maudlin,0.8,0.0022509848
maudlin / JJ,0.7692307692,0.0018758207
max,0.5,0.0005627462
may,0.4232365145,0.0191333708
may / MD,0.4232365145,0.0191333708
maybe,0.65625,0.0039392234
maybe / RB,0.65625,0.0039392234
mayhem,0.6923076923,0.0016882386
mayhem / NN,0.6923076923,0.0016882386
mcgrath,0,0
mcgrath / NNP,0,0
mckay,1,0.0011254924
mckay / NNP,1,0.0011254924
me,0.6761904762,0.0133183268
me / PRP,0.6761904762,0.0133183268
meal,0.5,0.0005627462
meal / NN,0.5,0.0005627462
mean,0.6818181818,0.002813731
mean / VB,0.6666666667,0.0015006565
mean-spirited,0.7142857143,0.0009379103
mean-spirited / JJ,0.7142857143,0.0009379103
meandering,0.9333333333,0.0026261489
meandering / JJ,1,0.0013130745
meandering / VBG,0.8571428571,0.0011254924
meaning,0.2777777778,0.0009379103
meaning / NN,0.2777777778,0.0009379103
meaningful,0.2857142857,0.0003751641
meaningful / JJ,0.2857142857,0.0003751641
meaningless,0.8333333333,0.0009379103
meaningless / JJ,0.8333333333,0.0009379103
means,0.2857142857,0.0011254924
means / NNS,0.1666666667,0.0003751641
means / VBZ,0.4444444444,0.0007503283
meant,0.8181818182,0.0016882386
meant / VBN,0.7142857143,0.0009379103
measure,0.25,0.0003751641
measure / NN,0.25,0.0003751641
measured,0.25,0.0003751641
measured / VBN,0.25,0.0003751641
meat,0.8333333333,0.0009379103
meat / NN,0.8333333333,0.0009379103
mechanical,1,0.0013130745
mechanical / JJ,1,0.0013130745
mechanics,1,0.0011254924
mechanics / NNS,1,0.0011254924
mediocre,0.9615384615,0.0046895517
mediocre / JJ,0.9615384615,0.0046895517
mediocrity,0.8571428571,0.0011254924
mediocrity / NN,0.8571428571,0.0011254924
meditation,0.2173913043,0.0009379103
meditation / NN,0.2173913043,0.0009379103
medium,0.125,0.0001875821
medium / NN,0.125,0.0001875821
meets,0.5714285714,0.0007503283
meets / VBZ,0.5714285714,0.0007503283
mel,0.4,0.0003751641
melancholy,0,0
melancholy / JJ,0,0
melodrama,0.58,0.0054398799
melodrama / NN,0.5918367347,0.0054398799
melodramatic,0.52,0.0024385669
melodramatic / JJ,0.52,0.0024385669
members,0.4705882353,0.0015006565
members / NNS,0.4705882353,0.0015006565
memorable,0.3157894737,0.0022509848
memorable / JJ,0.3157894737,0.0022509848
memories,0.4166666667,0.0009379103
memories / NNS,0.4,0.0007503283
memory,0.25,0.0013130745
memory / NN,0.25,0.0013130745
men,0.5614035088,0.0060026261
men / NNS,0.5614035088,0.0060026261
menace,0.6363636364,0.0013130745
menace / NN,0.6363636364,0.0013130745
mendes,0.3333333333,0.0003751641
mendes / NNP,0.3333333333,0.0003751641
mental,0.4,0.0003751641
mental / JJ,0.4,0.0003751641
mentally,0.5,0.0005627462
mentally / RB,0.5,0.0005627462
mention,0.5,0.0013130745
mention / VB,0.3636363636,0.0007503283
merchant,0.6666666667,0.0007503283
merchant / NN,0.6666666667,0.0007503283
mere,0.7272727273,0.0015006565
mere / JJ,0.7272727273,0.0015006565
merely,0.65625,0.0039392234
merely / RB,0.65625,0.0039392234
merit,1,0.0015006565
merit / NN,1,0.0009379103
mesmerizing,0.0555555556,0.0001875821
mesmerizing / JJ,0.0625,0.0001875821
mess,0.862745098,0.008253611
mess / NN,0.862745098,0.008253611
message,0.4259259259,0.0043143875
message / NN,0.4259259259,0.0043143875
messages,0.5384615385,0.0013130745
messages / NNS,0.5384615385,0.0013130745
messy,0.5,0.0007503283
messy / JJ,0.5,0.0007503283
metaphor,0.3571428571,0.0009379103
metaphor / NN,0.3571428571,0.0009379103
metaphorical,0.2,0.0001875821
metaphorical / JJ,0.2,0.0001875821
metaphors,0.7142857143,0.0009379103
metaphors / NNS,0.7142857143,0.0009379103
metropolis,0,0
metropolis / NNP,0,0
michael,0.4324324324,0.0030013131
michael / NNP,0.4324324324,0.0030013131
michel,0.3333333333,0.0003751641
michel / NNP,0.3333333333,0.0003751641
michell,0.8,0.0007503283
michell / NNP,0.8,0.0007503283
middle,0.36,0.0016882386
middle / JJ,0.3,0.0005627462
middle / NN,0.5,0.0011254924
middle-aged,0.5555555556,0.0009379103
middle-aged / JJ,0.5555555556,0.0009379103
midnight,0.3333333333,0.0003751641
midnight / NN,0.4,0.0003751641
might,0.6202531646,0.0183830426
might / MD,0.6202531646,0.0183830426
mike,0.2666666667,0.0007503283
mike / NNP,0.2666666667,0.0007503283
mild,0.7857142857,0.0020634027
mild / JJ,0.7857142857,0.0020634027
mildly,0.76,0.0035640593
mildly / RB,0.76,0.0035640593
mile,0.5,0.0013130745
mile / NN,0.7142857143,0.0009379103
mile / NNP,0.2857142857,0.0003751641
milieu,0.8,0.0007503283
milieu / NN,0.8,0.0007503283
military,0.4,0.0003751641
military / JJ,0.4,0.0003751641
miller,0.2,0.0005627462
miller / NNP,0.2,0.0005627462
million,0.5,0.0005627462
million / CD,0.5,0.0005627462
millions,0.6,0.0005627462
millions / NNS,0.6,0.0005627462
mind,0.4150943396,0.0041268055
mind / NN,0.35,0.0026261489
mind / VB,0.6153846154,0.0015006565
mind-numbingly,1,0.0009379103
mind-numbingly / RB,1,0.0009379103
mindless,0.9444444444,0.0031888951
mindless / JJ,0.9444444444,0.0031888951
minds,0.375,0.0005627462
minds / NNS,0.375,0.0005627462
mindset,0.4,0.0003751641
mindset / NN,0.4,0.0003751641
minimalist,0.5,0.0005627462
minimalist / JJ,0.5,0.0005627462
minor,0.1578947368,0.0005627462
minor / JJ,0.1578947368,0.0005627462
minority,0.375,0.0005627462
minority / NN,0.375,0.0005627462
minute,0.5,0.0011254924
minute / NN,0.4,0.0007503283
minutes,0.75,0.0180078784
minutes / NNS,0.75,0.0180078784
miracle,0.1428571429,0.0001875821
miracle / NN,0.1428571429,0.0001875821
mired,1,0.0011254924
mired / VBN,1,0.0011254924
miserable,1,0.0015006565
miserable / JJ,1,0.0015006565
misery,0.8333333333,0.0009379103
misery / NN,0.8333333333,0.0009379103
misfire,1,0.0011254924
misfire / NN,1,0.0011254924
miss,0.619047619,0.0024385669
miss / NNP,0.75,0.0011254924
miss / VB,0.3333333333,0.0005627462
miss / VBP,1,0.0009379103
missed,0.9090909091,0.0018758207
missed / VBD,1,0.0009379103
missed / VBN,0.8333333333,0.0009379103
misses,0.8,0.0015006565
misses / VBZ,0.8,0.0015006565
missing,0.7391304348,0.0031888951
missing / VBG,0.7727272727,0.0031888951
mistake,0.8571428571,0.0022509848
mistake / NN,0.8461538462,0.0020634027
mix,0.4166666667,0.0018758207
mix / NN,0.4166666667,0.0018758207
mixed,0.8461538462,0.0020634027
mixed / JJ,0.8181818182,0.0016882386
mixes,0.3333333333,0.0003751641
mixes / VBZ,0.3333333333,0.0003751641
mixture,0.2727272727,0.0005627462
mixture / NN,0.2727272727,0.0005627462
miyazaki,0,0
miyazaki / NNP,0,0
modern,0.3137254902,0.0030013131
modern / JJ,0.32,0.0030013131
modern-day,0.4,0.0003751641
modern-day / JJ,0.4,0.0003751641
modest,0.4666666667,0.0013130745
modest / JJ,0.4666666667,0.0013130745
moment,0.5757575758,0.0035640593
moment / NN,0.5757575758,0.0035640593
moments,0.4553571429,0.0095666854
moments / NNS,0.4553571429,0.0095666854
momentum,0.625,0.0009379103
momentum / NN,0.625,0.0009379103
money,0.7916666667,0.0035640593
money / NN,0.7916666667,0.0035640593
monotonous,1,0.0013130745
monotonous / JJ,1,0.0013130745
monsoon,0.1666666667,0.0001875821
monsoon / NN,0.1666666667,0.0001875821
monster,0.6363636364,0.0026261489
monster / NN,0.6363636364,0.0026261489
monsters,0.5454545455,0.0011254924
monsters / NNS,0.5454545455,0.0011254924
monty,0.5625,0.0016882386
monty / NN,0.6666666667,0.0011254924
monty / NNP,0.4285714286,0.0005627462
mood,0.2058823529,0.0013130745
mood / NN,0.2058823529,0.0013130745
moody,0.2222222222,0.0003751641
moody / NNP,0.3333333333,0.0003751641
moonlight,0.2857142857,0.0003751641
moonlight / NNP,0.2857142857,0.0003751641
moore,0.2380952381,0.0009379103
moore / NNP,0.2380952381,0.0009379103
moral,0.3235294118,0.0020634027
moral / JJ,0.3235294118,0.0020634027
morality,0.5,0.0013130745
morality / NN,0.5,0.0013130745
morally,0.8333333333,0.0009379103
morally / RB,0.8333333333,0.0009379103
more,0.5737226277,0.0737197524
more / JJR,0.6327160494,0.0384543238
more / RBR,0.5173333333,0.036390921
mores,0.4,0.0003751641
mores / NNS,0.4,0.0003751641
morning,0.5,0.0005627462
morning / NN,0.5,0.0005627462
morton,0,0
morton / NNP,0,0
morvern,0.25,0.0003751641
morvern / NNP,0.2857142857,0.0003751641
most,0.4036458333,0.0290752204
most / JJS,0.4864864865,0.0135059088
most / RBS,0.347107438,0.0157568936
mostly,0.5,0.0050647158
mostly / RB,0.5,0.0050647158
mother,0.4,0.0011254924
mother / NN,0.4,0.0011254924
mothers,0,0
mothers / NNS,0,0
mothman,0.5714285714,0.0007503283
mothman / NNP,0.4,0.0003751641
motion,0.3888888889,0.0013130745
motion / NN,0.3888888889,0.0013130745
motions,1,0.0011254924
motions / NNS,1,0.0011254924
motivated,0.8,0.0007503283
motivations,0.5,0.0005627462
motivations / NNS,0.5,0.0005627462
motown,0,0
mouth,0.5,0.0007503283
mouth / NN,0.5,0.0007503283
move,0.4705882353,0.0015006565
move / NN,0.4,0.0003751641
move / VB,0.4444444444,0.0007503283
moved,0.125,0.0001875821
moved / VBN,0.1428571429,0.0001875821
movement,0.6,0.0005627462
movement / NN,0.6,0.0005627462
movements,0.6666666667,0.0007503283
movements / NNS,0.6666666667,0.0007503283
moves,0.4285714286,0.0011254924
moves / NNS,0.6,0.0005627462
moves / VBZ,0.3333333333,0.0005627462
movie,0.6023255814,0.1457512662
movie / NN,0.6017080745,0.145376102
moviegoers,0.5333333333,0.0015006565
moviegoers / NNS,0.5333333333,0.0015006565
moviegoing,0.375,0.0005627462
moviegoing / NN,0.2,0.0001875821
moviemaking,0.1875,0.0005627462
moviemaking / NN,0.1875,0.0005627462
movies,0.4637681159,0.0180078784
movies / NNS,0.4637681159,0.0180078784
moving,0.1447368421,0.0020634027
moving / VBG,0.1447368421,0.0020634027
mr,0.3939393939,0.0048771337
mr / NN,0.4237288136,0.0046895517
mr / NNP,0.1428571429,0.0001875821
ms,0.45,0.0016882386
ms / NN,0.45,0.0016882386
mtv,0.5714285714,0.0007503283
mtv / NNP,0.5714285714,0.0007503283
muccino,0.4,0.0003751641
much,0.6,0.0427687113
much / JJ,0.6280193237,0.0243856687
much / RB,0.5689655172,0.0185706246
muddle,0.4,0.0003751641
muddled,0.9,0.0016882386
muddled / VBN,0.9,0.0016882386
mundane,0.5714285714,0.0007503283
mundane / JJ,0.5714285714,0.0007503283
murder,0.56,0.0026261489
murder / NN,0.56,0.0026261489
murderous,0.1666666667,0.0001875821
murderous / JJ,0.1666666667,0.0001875821
murky,0.8333333333,0.0009379103
murky / JJ,0.8333333333,0.0009379103
murphy,0.7142857143,0.002813731
murphy / NNP,0.7142857143,0.002813731
mushy,1,0.0009379103
mushy / JJ,1,0.0009379103
music,0.3258426966,0.0054398799
music / NN,0.3258426966,0.0054398799
musical,0.1875,0.0005627462
musical / JJ,0.2142857143,0.0005627462
must,0.4285714286,0.0033764772
must / MD,0.4285714286,0.0033764772
must-see,0.2857142857,0.0003751641
musty,1,0.0009379103
musty / JJ,1,0.0009379103
muted,0.8333333333,0.0009379103
my,0.4824561404,0.0103170137
my / PRP$,0.4824561404,0.0103170137
myers,0.6666666667,0.0007503283
myers / NNP,0.6666666667,0.0007503283
myself,0.5454545455,0.0011254924
myself / PRP,0.5454545455,0.0011254924
mysteries,0.1111111111,0.0001875821
mysteries / NNS,0.1111111111,0.0001875821
mysterious,0.25,0.0003751641
mysterious / JJ,0.25,0.0003751641
mystery,0.6578947368,0.0046895517
mystery / NN,0.6578947368,0.0046895517
n,0.3870967742,0.0022509848
n / NN,0.4117647059,0.0013130745
n / NNP,0.4,0.0011254924
na,0.3636363636,0.0007503283
na / TO,0.3636363636,0.0007503283
nachtwey,0.2,0.0001875821
nachtwey / NNP,0.2,0.0001875821
nails,0.2,0.0001875821
nails / NNPS,0.2,0.0001875821
naipaul,0.4,0.0003751641
nair,0.1818181818,0.0003751641
nair / NNP,0.1818181818,0.0003751641
name,0.7142857143,0.002813731
name / NN,0.7142857143,0.002813731
named,1,0.0016882386
named / VBN,1,0.0016882386
napoleon,0,0
napoleon / NNP,0,0
narc,0.3,0.0005627462
narc / NNP,0.2857142857,0.0003751641
narrative,0.5230769231,0.0063777903
narrative / JJ,0.5,0.0011254924
narrative / NN,0.5283018868,0.0052522979
narratively,0.6,0.0005627462
narratively / RB,0.6,0.0005627462
nasty,0.6153846154,0.0015006565
nasty / JJ,0.6153846154,0.0015006565
nation,0.1428571429,0.0001875821
nation / NN,0.1428571429,0.0001875821
national,0.5,0.0013130745
national / JJ,0.5,0.0011254924
natural,0.2777777778,0.0009379103
natural / JJ,0.2777777778,0.0009379103
naturalistic,0.7142857143,0.0009379103
naturalistic / JJ,0.7142857143,0.0009379103
naturally,0.6,0.0005627462
naturally / RB,0.6,0.0005627462
nature,0.4444444444,0.0030013131
nature / NN,0.4411764706,0.002813731
near,0.6428571429,0.0016882386
near / IN,0.6666666667,0.0011254924
nearly,0.6086956522,0.0078784468
nearly / RB,0.6086956522,0.0078784468
neat,0.7142857143,0.0009379103
neat / JJ,0.7142857143,0.0009379103
neatly,0,0
neatly / RB,0,0
necessarily,0.7,0.0013130745
necessarily / RB,0.7,0.0013130745
necessary,0.4375,0.0013130745
necessary / JJ,0.4375,0.0013130745
need,0.5540540541,0.0076908648
need / NN,0.6086956522,0.0026261489
need / VB,0.6,0.0016882386
need / VBP,0.53125,0.0031888951
needed,0.4736842105,0.0016882386
needed / VBD,0.5714285714,0.0007503283
needed / VBN,0.4166666667,0.0009379103
needlessly,0.8,0.0007503283
needlessly / RB,0.8,0.0007503283
needs,0.5833333333,0.0039392234
needs / NNS,0.4,0.0003751641
needs / VBZ,0.6129032258,0.0035640593
neighborhood,0,0
neighborhood / NN,0,0
neil,0.1428571429,0.0001875821
neil / NNP,0.1428571429,0.0001875821
neither,0.8333333333,0.0075032827
neither / CC,0.8181818182,0.0050647158
neither / DT,0.8571428571,0.0022509848
nelson,0.75,0.0011254924
nelson / NNP,0.75,0.0011254924
nemesis,0.8333333333,0.0009379103
nemesis / NN,0.8333333333,0.0009379103
nerve,0.2857142857,0.0003751641
nerve / NN,0.2857142857,0.0003751641
nervous,0.3333333333,0.0003751641
nervous / JJ,0.3333333333,0.0003751641
nervy,0.1666666667,0.0001875821
nervy / JJ,0.1666666667,0.0001875821
nettelbeck,0.4,0.0003751641
nettelbeck / NNP,0.4,0.0003751641
never,0.5764705882,0.0275745639
never / RB,0.5748031496,0.0273869818
nevertheless,0.5,0.0009379103
nevertheless / RB,0.5,0.0009379103
new,0.4653465347,0.0176327143
new / JJ,0.4733727811,0.0150065654
new / NNP,0.4242424242,0.0026261489
newcomer,0.4,0.0003751641
newcomer / NN,0.4,0.0003751641
news,0.4545454545,0.0009379103
news / NN,0.4,0.0007503283
next,0.7058823529,0.0067529544
next / JJ,0.7234042553,0.0063777903
nice,0.34375,0.0020634027
nice / JJ,0.34375,0.0020634027
nicely,0.125,0.0003751641
nicely / RB,0.125,0.0003751641
niche,0.4,0.0003751641
niche / NN,0.4,0.0003751641
nicholas,0.4545454545,0.0009379103
nicholas / NNP,0.4,0.0007503283
nicholson,0.125,0.0001875821
nicholson / NNP,0.125,0.0001875821
nickleby,0.3333333333,0.0005627462
nickleby / NNP,0.4285714286,0.0005627462
night,0.65,0.0024385669
night / NN,0.7058823529,0.0022509848
nightmare,0.5454545455,0.0011254924
nightmare / NN,0.5454545455,0.0011254924
nights,0.7777777778,0.0013130745
nights / NNS,0.7777777778,0.0013130745
nijinsky,0.375,0.0005627462
nijinsky / NNP,0.375,0.0005627462
nine,0.2,0.0001875821
nine / CD,0.2,0.0001875821
niro,0.6,0.002813731
niro / FW,0.4285714286,0.0005627462
niro / NNP,0.6666666667,0.0022509848
no,0.691011236,0.0461451885
no / DT,0.6897590361,0.0429562934
no / NN,0.5,0.0007503283
no / RB,0.6666666667,0.0015006565
no / UH,1,0.0009379103
noble,0.3333333333,0.0005627462
noble / JJ,0.3333333333,0.0005627462
nobody,0.7142857143,0.0009379103
nobody / NN,0.7142857143,0.0009379103
noir,0.1818181818,0.0003751641
noir / JJ,0.1818181818,0.0003751641
noise,0.4,0.0003751641
noise / NN,0.4,0.0003751641
nomination,0.4285714286,0.0005627462
nomination / NN,0.4285714286,0.0005627462
none,0.7631578947,0.0054398799
none / NN,0.7631578947,0.0054398799
nonetheless,0.2222222222,0.0003751641
nonetheless / RB,0.2222222222,0.0003751641
nonsense,0.75,0.0022509848
nonsense / NN,0.75,0.0022509848
nonsensical,0.8571428571,0.0011254924
nonsensical / JJ,0.8571428571,0.0011254924
nonstop,0.2,0.0001875821
nonstop / JJ,0.2,0.0001875821
nor,0.775,0.0058150441
nor / CC,0.775,0.0058150441
norton,0.2,0.0001875821
